Segment_ID,RMS_Noisy,RMS_Cleaned,RMS_diff,Correlation,P_Value
280.0,204.0172,8.2973,195.7199,-0.3696,0.21942063578659965
281.0,237.7261,11.5233,226.2028,0.0421,2.5074029264897225e-09
282.0,271.6239,10.862,260.76189999999997,0.0564,2.685400754302084e-06
283.0,137.5489,5.4006,132.1483,-0.2572,2.4592433777227046e-07
284.0,120.1927,5.8089,114.38380000000001,-0.0068,3.700777927954595e-67
285.0,77.3053,2.9707,74.33460000000001,-0.141,1.6972955068545343e-71
286.0,67.774,3.7195,64.0545,-0.0827,0.00033341294547447594
287.0,93.3383,4.6743,88.664,0.0866,5.089300753860169e-06
288.0,59.4929,3.0757,56.4172,0.284,0.8796656215962106
289.0,65.6448,2.7443,62.9005,0.2511,3.0544136728556174e-11
290.0,80.5461,3.5323,77.01379999999999,-0.3222,4.66669877953679e-29
291.0,60.3886,2.6841,57.704499999999996,-0.3468,5.5398938604403286e-61
292.0,43.2755,2.9529,40.3226,-0.1517,4.428061651801344e-75
293.0,39.1426,2.5752,36.5674,0.027,6.164984336429976e-11
294.0,25.5154,1.2228,24.2926,-0.0678,3.805845796007488e-59
295.0,18.5393,0.9207,17.6186,-0.0117,0.0006390151818506238
296.0,19.5692,0.8007,18.7685,-0.1342,8.976197606368266e-21
297.0,7.444,0.5166,6.9274000000000004,-0.1256,1.2769427513185902e-06
298.0,12.876,0.6566,12.2194,0.2703,5.643901201925866e-19
299.0,8.5974,0.398,8.1994,-0.0626,7.051959331967235e-41
300.0,47.052,2.3259,44.7261,-0.0047,4.768763910198363e-59
301.0,28.044,1.9111,26.1329,-0.0739,0.02956675269137994
302.0,58.5526,2.4374,56.1152,-0.1819,1.3783031864386697e-19
303.0,33.7068,1.4727,32.2341,-0.3131,0.8917624163228673
304.0,29.3858,1.206,28.1798,0.0127,0.07693663481360082
305.0,62.9987,2.7252,60.2735,0.1394,1.8713173115058888e-55
306.0,34.4378,1.6159,32.8219,0.1235,0.0001611617681477133
307.0,87.9002,3.7685,84.1317,-0.13,4.680236609541964e-12
308.0,66.7698,4.9303,61.8395,0.1383,5.464621100608853e-43
309.0,60.3199,2.7424,57.5775,0.0206,1.3209868102924982e-47
310.0,49.2034,2.1276,47.0758,0.0914,5.1718991530262885e-28
311.0,47.2674,2.5461,44.7213,0.227,1.1240136498317254e-08
312.0,55.4495,2.335,53.1145,-0.3643,5.123830163550976e-22
313.0,63.453,2.8034,60.64960000000001,0.0334,0.002948550849481303
314.0,83.9474,3.3201,80.6273,-0.1515,1.0164702576557987e-05
315.0,101.2365,5.1288,96.10770000000001,0.0695,3.941353453930534e-05
316.0,18.4708,0.8951,17.5757,0.0607,6.76071151101246e-73
317.0,56.1203,2.9212,53.1991,-0.067,2.630320432759608e-37
318.0,47.3204,2.0281,45.2923,0.0486,0.5340322642152182
319.0,58.4279,2.5061,55.921800000000005,0.109,0.10324019601275239
320.0,76.0378,5.9868,70.051,0.0894,2.5798601103876018e-83
321.0,77.7119,3.4386,74.2733,-0.0063,1.494754305246102e-122
322.0,74.169,2.9449,71.22409999999999,-0.3159,1.6292309913266703e-12
323.0,84.9051,5.183,79.72210000000001,0.3812,1.851191555896126e-84
324.0,80.2349,3.3651,76.8698,-0.0741,5.311624358065884e-141
325.0,126.3848,5.1914,121.1934,0.1935,1.1422655211153708e-62
326.0,65.2038,2.6329,62.5709,0.0963,0.15688379707856281
327.0,46.8968,2.3325,44.564299999999996,0.1606,4.595161877359126e-19
328.0,44.0203,2.5835,41.4368,-0.1696,6.743375931251011e-29
329.0,68.6449,2.821,65.82390000000001,0.0571,0.0005226134157832556
330.0,42.4643,1.7775,40.6868,-0.0222,1.9376045741654996e-19
331.0,50.4226,2.0384,48.3842,-0.0359,3.7785336024932646e-06
332.0,45.0714,1.9745,43.0969,0.0032,1.3313326300704547e-39
